iter	RMSE
0	0.3836805808
1	0.3811092896
2	0.3783374349
3	0.3759053807
4	0.3733350353
5	0.3714271063
6	0.3697623777
7	0.3680926235
8	0.3663381026
9	0.3646084213
10	0.3636557001
11	0.3615942983
12	0.3593917509
13	0.357426105
14	0.3557776543
15	0.353769298
16	0.3520403249
17	0.3505399775
18	0.3490598052
19	0.3470083055
20	0.3458305108
21	0.3444245906
22	0.3432181903
23	0.3419879825
24	0.3403714338
25	0.3391965353
26	0.3379704945
27	0.3367579867
28	0.3353435001
29	0.3341612247
30	0.3330087083
31	0.3319334536
32	0.3305558632
33	0.3294623389
34	0.3289482318
35	0.3279901548
36	0.3270578472
37	0.3258009713
38	0.3243387109
39	0.3234402773
40	0.3224699342
41	0.321577543
42	0.3208511516
43	0.3197372345
44	0.3189360503
45	0.3179210475
46	0.3170004526
47	0.3160275922
48	0.3149680785
49	0.350	0.3123750	0.351	0.3111451	0.352	0.310352	0.3153	0.309453	0.354	0.3084654	0.355	0.3072028797
56	0.3060605032
57	0.3051294641
58	0.3044158	0.359	0.3036759	0.3049139067
60	0.61	0.30215261	0.62	0.3011850637
63	0.3004330494
64	0.2995530455
65	0.2986627725
66	0.2979927505
67	0.2969543604
68	0.2961219409
69	0.2950059705
70	0.2941776951
71	0.2934766782
72	0.2924293026
73	0.2918441837
74	0.2911919058
75	0.2906468312
76	0.289897067
77	0.2894497684
78	0.2889343844
79	0.2882141372
80	0.287480351
81	0.2867398603
82	0.2862470512
83	0.2856715892
84	0.2850768998
85	0.2842868554
86	0.2833264752
87	0.2827233605
88	0.2820362525
89	0.2810977572
90	0.2804476977
91	0.2799893501
92	0.2793523911
93	0.2785181898
94	0.2777758348
95	0.2769295674
96	0.276448327
97	0.2760890872
98	0.2754305983
99	0.2747900228
100	0.274095629
101	0.2735107951
102	0.2728166671
103	0.2722672633
104	0.2717239618
105	0.271105	0.2695303839
106	0.26879932
107	0.2683946406
108	0.2676436225
109	0.2671429918
110	0.2666099666
111	0.2663049235
112	0.2652252118
113	0.2645641955
114	0.2639737726
115	0.2634678378
116	0.263112589
117	0.2624615288
118	0.2617349104
119	0.2611171937
120	0.2604669493
121	0.2599594322
122	0.2591752113
123	0.2584227997
124	0.2578927032
125	0.2574014404
126	0.2568632903
127	0.256381102
128	0.2558279949
129	0.2554059336
130	0.2550200132
131	0.2544129982
132	0.2539292584
133	0.2530671554
134	0.2522953497
135	0.2518187681
136	0.2513741078
137	0.2509146037
138	0.2505639961
139	0.2500573156
140	0.2495569698
141	0.2492395092
142	0.2487230668
143	0.2482569877
144	0.2475088364
145	0.2467437375
146	0.246469145
147	0.2462054705
148	0.2454819347
149	0.2448405223
150	0.2446295194
151	0.2439941079
152	0.2434305273
153	0.2429156435
154	0.2422995582
155	0.2414893786
156	0.2410948364
157	0.2407330218
158	0.2402041408
159	0.2395621111
160	0.2389294297
161	0.2381975267
162	0.2374665489
163	0.2367024592
164	0.2360181798
165	0.2356682689
166	0.2352467531
167	0.2346541065
168	0.2342262884
169	0.2337677323
170	0.2331965682
171	0.23249917
172	0.2321126984
173	0.2316413551
174	0.231255033
175	0.2309325317
176	0.2303969066
177	0.2301466018
178	0.2295926754
179	0.2289720081
180	0.2284015876
181	0.2276274425
182	0.2269440823
183	0.2264619283
184	0.2258255837
185	0.225429339
186	0.2248540927
187	0.2242898268
188	0.223788048
189	0.2229059644
190	0.2225655573
191	0.2221663955
192	0.2218819697
193	0.2215623912
194	0.220775856
195	0.2202010276
196	0.2198233337
197	0.2191496569
198	0.2188375216
199	0.2182520229
200	0.2175126432
201	0.217073744
202	0.2165569024
203	0.2160165464
204	0.2156602697
205	0.2150254792
206	0.2145055892
207	0.2139727082
208	0.2133860694
209	0.2129223618
210	0.2126880619
211	0.2122327285
212	0.2117536173
213	0.211316892
214	0.2108771862
215	0.2104162832
216	0.209698178
217	0.2090633928
218	0.2086850798
219	0.2082497324
220	0.2078131722
221	0.2072942498
222	0.2068486868
223	0.2063717383
224	0.2057628248
225	0.2053329644
226	0.2049059008
227	0.2045108539
228	0.2039608153
229	0.2034164093
230	0.2030229464
231	0.2024105045
232	0.2018974744
233	0.2017151229
234	0.2014211486
235	0.2010681056
236	0.2007693694
237	0.2004233881
238	0.2002006981
239	0.1997985278
240	0.1994262096
241	0.1987140246
242	0.1981335215
243	0.1975735146
244	0.1972590299
245	0.1967398753
246	0.196249832
247	0.1959508739
248	0.1953966401
249	0.1948024715
250	0.1942619469
251	0.1939719653
252	0.1934239564
253	0.1930091607
254	0.1925524692
255	0.1922867534
256	0.1918237085
257	0.1914104455
258	0.1909016698
259	0.1904719687
260	0.1901530138
261	0.1894014563
262	0.1890295378
263	0.1889902394
264	0.1885719107
265	0.1882802572
266	0.1879661835
267	0.1875522361
268	0.1870768662
269	0.1868654363
270	0.1862885005
271	0.1858489939
272	0.1852885626
273	0.1848373532
274	0.1845378037
275	0.1840951514
276	0.1835859067
277	0.1835438238
278	0.1830465754
279	0.1826114037
280	0.1822406532
281	0.1817473884
282	0.181382555
283	0.1808690612
284	0.1806931988
285	0.180424361
286	0.1801839719
287	0.1798247549
288	0.1796664121
289	0.1791402683
290	0.1789270572
291	0.1783741947
292	0.1779366628
293	0.1774693306
294	0.1771306948
295	0.1767732758
296	0.1763798498
297	0.1758682521
298	0.1754787382
299	0.1751564896
300	0.1747022815
301	0.1743994201
302	0.1740054486
303	0.1736641115
304	0.1730366103
305	0.1725509972
306	0.1721820073
307	0.1717200811
308	0.1713131596
309	0.1709293556
310	0.1708127755
311	0.1704250922
312	0.1700664097
313	0.1696824997
314	0.1692244692
315	0.168871613
316	0.1685228218
317	0.1680991153
318	0.1678094646
319	0.1675339487
320	0.1671039651
321	0.1667465288
322	0.1663297195
323	0.1658861003
324	0.1654426283
325	0.1649635006
326	0.1644296535
327	0.1639584593
328	0.163499944
329	0.1631609372
330	0.1627116404
331	0.1625296382
332	0.1622947443
333	0.1619112618
334	0.1614513164
335	0.1612520467
336	0.1610401975
337	0.160940188
338	0.1606938791
339	0.1603716575
340	0.1599496019
341	0.1595188821
342	0.1592856598
343	0.1588950388
344	0.1586179677
345	0.1581511754
346	0.1577556224
347	0.1573722388
348	0.1570634869
349	0.1568128933
350	0.1567755652
351	0.1564388172
352	0.1560521871
353	0.1554788088
354	0.155090445
355	0.1549221488
356	0.1546874959
357	0.1543008271
358	0.1540002205
359	0.1536107357
360	0.1532999655
361	0.152829897
362	0.1525321765
363	0.1522133099
364	0.1519087541
365	0.1516566166
366	0.1514117586
367	0.1511115136
368	0.1508420469
369	0.1507698816
370	0.1505894921
371	0.1501648581
372	0.149932279
373	0.1496565461
374	0.1494190124
375	0.1492459112
376	0.1488964621
377	0.1485973175
378	0.148510437
379	0.1481582379
380	0.1476638816
381	0.1473132573
