iter	Passed	Remaining
0	1	1853
1	3	1783
2	5	1742
3	6	1729
4	8	1715
5	10	1703
6	11	1691
7	13	1683
8	15	1680
9	16	1672
10	18	1665
11	20	1664
12	21	1665
13	23	1660
14	25	1657
15	26	1653
16	28	1653
17	30	1653
18	31	1648
19	33	1641
20	34	1617
21	36	1620
22	38	1627
23	39	1626
24	41	1624
25	43	1624
26	45	1628
27	48	1688
28	50	1687
29	52	1682
30	53	1677
31	55	1671
32	56	1668
33	58	1664
34	60	1665
35	62	1661
36	63	1657
37	65	1647
38	66	1636
39	68	1632
40	69	1630
41	71	1626
42	73	1626
43	74	1624
44	76	1622
45	78	1622
46	79	1619
47	81	1617
48	83	1615
49	84	1612
50	86	1610
51	88	1607
52	89	1605
53	91	1603
54	93	1601
55	94	1599
56	96	1596
57	98	1600
58	102	1637
59	106	1669
60	108	1665
61	109	1662
62	111	1658
63	113	1654
64	63	166	2438
64	168	2425
65	170	2409
66	171	2393
67	173	2369	125	1671
70	127	1670
71	129	1667
72	131	1663
73	132	1660
74	134	1657
75	136	1662
76	138	1659
77	76	191	2301
77	196	2322
78	198	2311
79	199	2299
80	201	2287
81	203	2275
82	204	2263
83	206	2251
84	208	2240
85	209	2229
86	211	2218
87	213	2207
88	214	2197
89	216	2187
90	217	2177
91	219	2167
92	221	2157
93	222	2147
94	225	2150
95	227	2142
96	229	2133
97	230	2124
98	232	2115
99	234	2108
100	246	2190
101	247	2181
102	249	2172
103	251	216105	231	1955
106	234	1956
107	236	1951
108	238	1950
109	240	1945
110	242	1943
111	244	1938
112	246	1932
113	248	1929
114	249	1922
115	251	1915
116	253	1911
117	255	1906
118	256	1901
119	259	1899
120	260	1894
121	262	1888
122	264	1883
123	266	1879
124	267	1875
125	269	1871
126	271	1866
127	273	1862
128	274	1856
129	276	1851
130	278	1845
131	281	1849
132	282	1843
133	284	1839
134	286	1837
135	289	1839
136	292	1840
137	294	1836
138	295	1832
139	297	1828
140	299	1825
141	301	1821
142	303	1816
143	304	1811
144	306	1809
145	308	1803
146	310	1802
147	312	1797
148	313	1792
149	315	1786
150	316	1781
151	318	1776
152	321	1777
153	322	1772
154	324	1767
155	325	1763
156	327	1759
157	329	1754
158	331	1750
159	394	2070
160	396	2065
161	397	2058
162	399	2053
163	401	2047
164	403	2042
165	405	2036
166	407	2030
167	408	2024
168	410	2017
169	412	2015
170	414	2009
171	416	2003
172	417	1997
173	419	1991
174	421	1986
175	423	1981
176	426	1981
177	427	1974
178	429	1968
179	430	1961
180	432	1957
181	434	1951
182	435	1945
183	438	1942
184	439	1936
185	440	1929
186	441	1921
187	442	1913
188	444	1906
189	445	1899
190	447	1895
191	449	1890
192	451	1888
193	453	1883
194	454	1878
195	456	1873
196	458	1868
197	459	1861
198	461	1855
199	462	1848
200	463	1842
201	465	1840
202	467	1835
203	469	1831
204	477	1850
205	479	1846
206	480	1841
207	482	1836
208	484	1832
209	485	1827
210	487	1822
211	488	1817
212	491	1814
213	493	1810
214	495	1807
215	496	1802
216	497	1796
217	500	1793
218	501	1787
219	503	1786
220	505	1780
221	506	1774
222	507	1769
223	509	1765
224	511	1760
225	512	1756
226	514	1751
227	515	1746
228	517	1741
229	518	1737
230	520	1733
231	522	1730
232	524	1725
233	525	1719
234	526	1715
235	528	1710
236	529	1705
237	531	1701
238	533	1697
239	534	1692
240	535	1688
241	537	1683
242	539	1679
243	540	1674
244	542	1672
245	544	1668
246	546	1665
247	548	1663
248	550	1661
249	552	1656
250	554	1655
251	556	1652
252	558	1648
253	559	1644
254	561	1640
255	562	1636
256	564	1632
257	566	1628
258	568	1625
259	569	1622
260	571	1618
261	572	1613
262	574	1608
263	574	1602
264	576	1597
265	577	1593
266	579	1589
267	580	1585
268	581	1580
269	582	1575
270	584	1571
271	585	1566
272	586	1561
273	587	1557
274	589	1554
275	591	1550
276	593	1549
277	594	1545
278	596	1541
279	597	1537
280	599	1533
281	600	1529
282	602	1526
283	603	1521
284	604	1516
285	605	1512
286	607	1508
287	608	1504
288	610	1501
289	611	1497
290	613	1494
291	615	1491
292	616	1487
293	617	1483
294	619	1479
295	620	1475
296	621	1472
297	623	1468
298	624	1464
299	625	1460
300	627	1456
301	628	1452
302	629	1449
303	631	1444
304	632	1440
305	633	1436
306	634	1432
307	635	1428
308	637	1425
309	638	1421
310	639	1417
311	641	1413
312	642	1409
313	643	1406
314	645	1403
315	646	1399
316	647	1396
317	649	1392
318	650	1389
319	652	1385
320	653	1382
321	655	1379
322	656	1375
323	657	1371
324	658	1368
325	660	1364
326	661	1361
327	662	1358
328	664	1355
329	665	1352
330	668	1350
331	669	1346
332	670	1343
333	671	1339
334	673	1336
335	674	1332
336	676	1329
337	677	1327
338	679	1324
339	680	1321
340	682	1318
341	683	1314
342	689	1321
343	691	1318
344	692	1315
345	694	1312
346	695	1309
347	697	1306
348	699	1304
349	700	1301
350	701	1297
351	703	1294
352	704	1291
353	705	1288
354	707	1284
355	708	1281
356	709	1278
357	711	1276
358	717	1281
359	719	1278
360	720	1275
361	722	1272
362	724	1271
363	726	1268
364	727	1265
365	729	1263
366	731	1260
367	732	1257
368	733	1254
369	734	1251
370	736	1247
371	743	1255
372	745	1252
373	746	1250
374	748	1248
375	750	1244
376	751	1241
377	752	1238
378	754	1235
379	755	1232
380	757	1230
381	758	1227
382	760	1224
383	762	1222
384	763	1219
385	765	1217
386	766	1214
387	767	1211
388	769	1208
389	770	1205
390	771	1202
391	774	1200
392	775	1197
393	777	1195
394	779	1194
395	781	1191
396	782	1189
397	789	1193
398	790	1190
399	791	1187
400	798	1192
401	800	1190
402	801	1187
403	802	1184
404	804	1181
405	805	1178
406	806	1175
407	807	1172
408	809	1169
409	810	1165
410	811	1162
411	812	1159
412	813	1156
413	814	1152
414	815	1149
415	818	1149
