iter	RMSE
0	9.214539961
1	9.036527944
2	8.87852642
3	8.698082106
4	8.536638861
5	8.380991404
6	8.208020983
7	8.055604715
8	7.901385407
9	7.760827685
10	7.615339175
11	7.475255217
12	7.338584773
13	7.21616531
14	7.069273056
15	6.941402688
16	6.819335403
17	6.706236395
18	6.587494254
19	6.460342994
20	6.364389664
21	6.265727855
22	6.144144811
23	6.017167489
24	5.943227537
25	5.863450929
26	5.767067248
27	5.691544346
28	5.592034565
29	5.511177419
30	5.438586709
31	5.353976115
32	5.283574714
33	5.207956198
34	5.144749058
35	5.062363159
36	4.987781769
37	4.913025838
38	4.835285314
39	4.783321108
40	4.735575677
41	4.680375518
42	4.62801329
43	4.559827346
44	4.515668838
45	4.462034246
46	4.406014271
47	4.351571342
48	4.307388873
49	4.251340547
50	4.188426182
51	4.131821677
52	4.094745876
53	4.051554239
54	4.0170341
55	3.979139664
56	3.947736622
57	3.905784846
58	3.871128084
59	3.82770501
60	3.783891132
61	3.736679559
62	3.691847473
63	3.653633658
64	3.620621508
65	3.590925617
66	3.551858506
67	3.518213679
68	3.489440684
69	3.462713682
70	3.431552504
71	3.407649786
72	3.381819425
73	3.356265047
74	3.329408824
75	3.304835352
76	3.276999876
77	3.259474649
78	3.226666433
79	3.207669672
80	3.181817745
81	3.162741206
82	3.144487031
83	3.129738392
84	3.111084096
85	3.087940903
86	3.069906474
87	3.053387273
88	3.039154838
89	3.023264866
90	3.008327833
91	2.988439712
92	2.965416987
93	2.951368761
94	2.934160325
95	2.917140725
96	2.906915605
97	2.884247758
98	2.871042736
99	2.857827489
100	2.837818539
101	2.818153149
102	2.807086459
103	2.797541052
104	2.782113563
105	2.773995107
106	2.762017299
107	2.755155185
108	2.739389343
109	2.728101451
110	2.718984375
111	2.707102192
112	2.690248173
113	2.679606746
114	2.669541408
115	2.655589299
116	2.642322719
117	2.627071189
118	2.615576184
119	2.606072402
120	2.600148169
121	2.590156558
122	2.583140465
123	2.572004906
124	2.563344179
125	2.560223626
126	2.554752424
127	2.546344512
128	2.535588488
129	2.527787326
130	2.520474822
131	2.509847337
132	2.501439422
133	2.494390218
134	2.485630405
135	2.473261141
136	2.459553817
137	2.451401237
138	2.440308977
139	2.43341489
140	2.423373417
141	2.411826447
142	2.398668826
143	2.38809936
144	2.378657454
145	2.372070002
146	2.36072112
147	2.355458293
148	2.347167037
149	2.339337439
150	2.331065166
151	2.324987631
152	2.315003391
153	2.305827666
154	2.29380178
155	2.287333368
156	2.276406411
157	2.265902445
158	2.25853273
159	2.249256764
160	2.239604324
161	2.236295033
162	2.226986733
163	2.218658272
164	2.210947643
165	2.205550682
166	2.19701523
167	2.190714311
168	2.186468744
169	2.179563429
170	2.170389187
171	2.160184872
172	2.151776619
173	2.146110755
174	2.139657779
175	2.130050852
176	2.126398752
177	2.124341346
178	2.118124844
179	2.111979722
180	2.107193679
181	2.100169702
182	2.094811092
183	2.092350445
184	2.088249879
185	2.078360994
186	2.075982706
187	2.067538557
188	2.060137636
189	2.051304023
190	2.046181066
191	2.04364792
192	2.041003236
193	2.035322985
194	2.032578269
195	2.023887979
196	2.019846235
197	2.017968489
198	2.014331204
199	2.006854223
200	2.000013041
201	1.99421517
202	1.987493515
203	1.981128297
204	1.974718801
205	1.96884103
206	1.961686159
207	1.952890483
208	1.945654446
209	1.941271377
210	1.938530187
211	1.936006433
212	1.928352105
213	1.926011854
214	1.92439144
215	1.922245098
216	1.916233355
217	1.909172982
218	1.907071596
219	1.900684
220	1.892741482
221	1.888469579
222	1.881211845
223	1.877207323
224	1.873991911
225	1.871490564
226	1.865117419
227	1.860222502
228	1.858186715
229	1.853433989
230	1.847808011
231	1.840456951
232	1.839161986
233	1.831832132
234	1.826085634
235	1.822543158
236	1.817213774
237	1.810986633
238	1.809222439
239	1.804667535
240	1.799571623
241	1.793168297
242	1.790971367
243	1.786143247
244	1.780317087
245	1.776003694
246	1.770845764
247	1.769506842
248	1.768070787
249	1.765162505
250	1.763457888
251	1.761777746
252	1.755331834
253	1.747839927
254	1.744900649
255	1.7420106
256	1.738231932
257	1.735185709
258	1.729165797
259	1.72376137
260	1.719380186
261	1.714775282
262	1.706728194
263	1.700453331
264	1.694189488
265	1.693062109
266	1.688040664
267	1.683763729
268	1.678822579
269	1.672471838
270	1.66979891
271	1.668575165
272	1.665168002
273	1.661274205
274	1.659661495
275	1.658259118
276	1.654344187
277	1.653065167
278	1.646249355
279	1.645085305
280	1.641970636
281	1.636948549
282	1.630237337
283	1.626129059
284	1.625088342
285	1.623365405
286	1.622100216
287	1.618857661
288	1.613616826
289	1.611031712
290	1.61010264
291	1.607986553
292	1.602913048
293	1.598685131
294	1.596088464
295	1.595084242
296	1.593865946
297	1.589030967
298	1.584227864
299	1.579509959
300	1.575905247
301	1.57468654
302	1.57345059
303	1.572386568
304	1.569855567
305	1.566470837
306	1.562590108
307	1.556535553
308	1.552341955
309	1.551348551
310	1.550378649
311	1.545521615
312	1.540220004
313	1.539084218
314	1.53825874
315	1.534173297
316	1.530916313
317	1.530301665
318	1.523911993
319	1.5189563
320	1.514715179
321	1.513790167
322	1.510234374
323	1.508251001
324	1.507500078
325	1.506792319
326	1.501755504
327	1.496537092
328	1.491986163
329	1.48717417
330	1.483294689
331	1.479975784
332	1.477026403
333	1.476250083
334	1.475223609
335	1.473367869
336	1.469907955
337	1.467642359
338	1.463450604
339	1.462403534
340	1.461719104
341	1.460863323
342	1.460270575
343	1.459475198
344	1.457750567
345	1.455973588
346	1.455367983
347	1.454583649
348	1.450434522
349	1.446688632
350	1.443507815
351	1.438233144
352	1.436802886
353	1.434768205
354	1.430146324
355	1.428915197
356	1.428307111
357	1.427580805
358	1.425306194
359	1.420037037
360	1.414524856
361	1.414032832
362	1.411996322
363	1.410319632
364	1.407113267
365	1.405259612
366	1.404700767
367	1.403498393
368	1.400349339
369	1.399865581
370	1.397156423
371	1.395633425
372	1.395118625
373	1.391455999
374	1.390736809
375	1.389337592
376	1.385328416
377	1.382560258
378	1.37760702
379	1.376280888
380	1.37307652
381	1.371565712
382	1.36960048
383	1.36479064
384	1.361954573
385	1.360578845
386	1.356841265
387	1.355671676
388	1.354682743
389	1.352014003
390	1.349717399
391	1.348248924
392	1.34779182
393	1.346449249
394	1.343227761
395	1.341140715
396	1.338653102
397	1.33422856
398	1.332945061
399	1.32980981
400	1.32865092
401	1.324630681
402	1.322567185
403	1.320700881
404	1.317938818
405	1.316559155
406	1.313877759
407	1.311067668
408	1.30821209
409	1.306395929
410	1.305896125
411	1.304226729
412	1.301465959
413	1.298818437
414	1.295518742
415	1.293093903
416	1.291110102
417	1.289047113
418	1.288600831
419	1.287523609
420	1.285706666
421	1.282765414
422	1.281583148
423	1.276793324
424	1.276083772
425	1.272752629
426	1.272060083
427	1.270551782
428	1.269532227
429	1.265641751
430	1.26491779
431	1.26388195
432	1.261034012
433	1.260498937
434	1.257180981
435	1.255427462
436	1.254049866
437	1.250640602
438	1.247123606
439	1.243406657
440	1.241201402
441	1.238139635
442	1.233997336
443	1.230456088
444	1.228949501
445	1.228305099
446	1.227194721
447	1.225679199
448	1.222188101
449	1.218231636
450	1.216149492
451	1.213114032
452	1.209172368
453	1.206340513
454	1.202959083
455	1.199746969
456	1.197510074
457	1.196574542
458	1.194059932
459	1.192516544
460	1.189745167
461	1.188402095
462	1.186411226
463	1.184856338
464	1.184487327
465	1.182981864
466	1.179041627
467	1.176799979
468	1.176438698
469	1.17348588
470	1.172468383
471	1.169555332
472	1.166807044
473	1.163819268
474	1.161801756
475	1.158537734
476	1.155956593
477	1.153207873
478	1.150876864
479	1.150431853
480	1.148844398
481	1.147449417
482	1.144773643
483	1.142268367
484	1.13842028
485	1.136730248
486	1.134227857
487	1.133774848
488	1.131428089
489	1.128926786
490	1.127664945
491	1.126609879
492	1.124545245
493	1.12291703
494	1.119030618
495	1.11710436
496	1.114109905
497	1.111531185
498	1.110429544
499	1.107975476
500	1.105665951
501	1.103716852
502	1.099979583
503	1.099282415
504	1.097537397
505	1.095471889
506	1.095132067
507	1.092199443
508	1.091404371
509	1.089433198
510	1.087203059
511	1.08475818
512	1.083915895
513	1.081635715
514	1.078278953
515	1.076267849
516	1.074129789
517	1.070561213
518	1.070159041
519	1.067373941
520	1.065323118
521	1.063642123
522	1.063096815
523	1.060033594
524	1.05889089
525	1.057364295
526	1.055070234
527	1.052537937
528	1.049932045
529	1.049020093
530	1.048010053
531	1.045215765
532	1.042830182
533	1.04019059
534	1.038016419
535	1.036229165
536	1.035984125
537	1.034709714
538	1.032605964
539	1.031633833
540	1.031419104
541	1.028886576
542	1.027957246
543	1.027266161
544	1.025661517
545	1.023120371
546	1.020167525
547	1.018853891
548	1.016187279
549	1.01413647
550	1.010558976
551	1.008226479
552	1.00680511
553	1.004227997
554	1.002596182
555	1.000287559
556	0.9977171252
557	0.9956237924
558	0.9920583069
559	0.9899753073
560	0.9880346416
561	0.985659827
562	0.9844648215
563	0.9833845061
564	0.981276709
565	0.9786336657
566	0.9780033439
567	0.9761949135
568	0.9740969161
569	0.9721579639
570	0.9692502139
571	0.966851817
572	0.964887277
573	0.9644018451
574	0.9622499462
575	0.9605242468
576	0.9601907303
577	0.9570110372
578	0.9547882027
579	0.9533353917
580	0.9519936963
581	0.9504382918
582	0.9488432726
583	0.9477677044
584	0.9455563834
585	0.9430770387
586	0.9402156997
587	0.9400228328
588	0.9379480711
589	0.9357292239
590	0.9354950683
591	0.9335123739
592	0.9307920261
593	0.9284008174
594	0.9270068447
595	0.9265792737
596	0.9257503964
597	0.9238940666
598	0.9229067186
599	0.9213184439
600	0.9192355055
601	0.917430061
602	0.9158556373
603	0.9156546723
604	0.914016895
605	0.9122871243
606	0.9103247265
607	0.9073568405
608	0.9042655622
609	0.9017392959
610	0.9006670445
611	0.898830106
612	0.896541745
613	0.8962227106
614	0.8932819056
615	0.8920289232
616	0.8895104613
617	0.8870810469
618	0.8860777803
619	0.884084492
620	0.8813124638
621	0.8799798429
622	0.8775131748
623	0.8758869114
624	0.8734603044
625	0.8709222012
626	0.8696481487
627	0.8689252805
628	0.8670521873
629	0.8654554155
630	0.8639210724
631	0.8633513217
632	0.8625542651
633	0.8603359447
634	0.8578876065
635	0.8556391468
636	0.8545012501
637	0.8527527851
638	0.8507357871
639	0.8495145729
640	0.8475730522
641	0.8456655377
642	0.8427298202
643	0.8406043746
644	0.8391307051
645	0.8388105464
646	0.838301777
647	0.8366966078
648	0.8357124902
649	0.8345625293
650	0.8333514699
651	0.8325433041
652	0.831750992
653	0.8316232574
654	0.8307979409
655	0.829341842
656	0.8268416398
657	0.8252393717
658	0.8231604747
659	0.8210849103
660	0.8203966394
661	0.819653003
662	0.8182248432
663	0.818018885
664	0.8170551227
665	0.8165837316
666	0.8141509737
667	0.814001929
668	0.8119221306
669	0.8103631543
670	0.809355606
671	0.8081414377
672	0.8059252048
673	0.8054598408
674	0.8040915838
675	0.8019932125
676	0.8015643115
677	0.8003398096
678	0.8001958544
679	0.7994871829
680	0.79760943
681	0.7953449296
682	0.7950997805
683	0.7934240536
684	0.7911837033
685	0.7890877728
686	0.7871811869
687	0.7859982513
688	0.785101295
