iter	Passed	Remaining
0	1	1710
1	2	1421
2	3	1271
3	4	1122
4	5	1085
5	6	1100
6	7	1113
7	9	1119
8	10	1131
9	11	1132
10	12	1132
11	13	1133
12	14	1089
13	15	1109
14	16	1115
15	18	1118
16	19	1122
17	20	1127
18	21	1127
19	22	1124
20	23	1118
21	65	2894
22	65	2801
23	67	2732
24	68	2665
25	69	2602
26	70	2542
27	71	2487
28	74	2482
29	75	2438
30	76	2394
31	77	2356
32	79	2326
33	80	2287
34	81	2250
35	82	2217
36	83	2185
37	85	2155
38	86	2139
39	88	2127
40	90	2109
41	93	2142
42	95	2123
43	96	2097
44	99	2103
45	100	2092
46	102	2080
47	103	2059
48	105	2038
49	106	2017
50	107	1996
51	108	1976
52	109	1964
53	111	1947
54	112	1935
55	113	1918
56	115	1904
57	118	1926
58	123	1962
59	127	1992
60	128	1976
61	130	1972
62	132	1977
63	134	1968
64	136	1967
65	138	1953
66	139	1939
67	140	1930
68	142	1927
69	144	1913
70	145	1900
71	146	1886
72	147	1873
73	148	1860
74	149	1847
75	150	1835
76	152	1832
77	154	1820
78	155	1809
79	156	1799
80	177	2010
81	197	2216
82	198	2195
83	200	2181
84	201	2165
85	202	2150
86	203	2134
87	205	2126
88	207	2119
89	208	2110
90	209	2096
91	211	2087
92	212	2071
93	213	2058
94	214	2045
95	215	2033
96	217	2022
97	218	2011
98	220	2002
99	220	1988
100	222	1980
101	223	1969
102	224	1957
103	225	1945
104	227	1937
105	228	1926
106	229	1918
107	231	1910
108	232	1902
109	233	1892
110	235	1882
111	235	1870
112	237	1864
113	238	1857
114	240	1849
115	242	1847
116	243	1838
117	244	1830
118	246	1821
119	247	1814
120	248	1807
121	250	1799
122	252	1803
123	254	1798
124	255	1789
125	256	1779
126	257	1772
127	259	1765
128	260	1757
129	261	1746
130	261	1737
131	263	1732
132	265	1729
133	266	1723
134	268	1720
135	269	1714
136	270	1706
137	272	1699
138	272	1690
139	274	1686
140	275	1680
141	277	1674
142	278	1668
143	279	1661
144	280	1654
145	281	1647
146	282	1640
147	284	1635
148	285	1628
149	286	1623
150	287	1616
151	288	1609
152	289	1603
153	290	1596
154	291	1588
155	292	1583
156	293	1577
157	295	1572
